Status,Module,File Time Stamp,Link Time Stamp,File Size,Attr.,Link Checksum,Real Checksum,CPU,Subsystem,Symbols,Preferred Base,Actual Base,Virtual Size,Load Order,File Ver,Product Ver,Image Ver,Linker Ver,OS Ver,Subsystem Ver
?,"MSVCP140.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
?,"VCRUNTIME140.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-APPMODEL-RUNTIME-L1-1-0.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-CORE-WINRT-ERROR-L1-1-0.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-CORE-WINRT-L1-1-0.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-CORE-WINRT-ROBUFFER-L1-1-0.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-CORE-WINRT-STRING-L1-1-0.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-SHCORE-SCALING-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"DCOMP.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"IESHIMS.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
E6,"c:\windows\system32\API-MS-WIN-CORE-THREADPOOL-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:27,4608,HA,0x00010439,0x00010439,x64,Console,"CV",0x000007FF26E80000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
DE6,"c:\windows\system32\DWMAPI.DLL",2009-07-14 03:40:34,2009-07-14 03:28:07,82432,A,0x00014877,0x00014877,x64,GUI,"CV",0x000007FF70F60000,Unknown,0x00018000,Not Loaded,6.1.7600.16385,6.1.7600.16385,6.1,9.0,6.1,6.1
DE6,"c:\windows\system32\ESENT.DLL",2010-11-21 05:24:00,2010-11-20 15:01:22,2565632,A,0x0027AC29,0x0027AC29,x64,Console,"CV",0x000007FF7C980000,Unknown,0x0027A000,Not Loaded,6.1.7601.17514,6.1.7601.17514,6.1,9.0,6.1,5.2
DE6,"c:\windows\system32\IEFRAME.DLL",2017-08-29 17:31:26,2015-05-22 19:56:03,14404096,A,0x00DCAF3A,0x00DCAF3A,x64,GUI,"CV",0x0000000180000000,Unknown,0x00DC3000,Not Loaded,11.0.9600.17840,11.0.9600.17840,6.3,11.0,6.3,6.1
DE6,"c:\windows\system32\IMM32.DLL",2009-07-14 03:41:09,2009-07-14 03:28:32,167424,A,0x0003550D,0x0003550D,x64,GUI,"CV",0x000007FF718F0000,Unknown,0x0002E000,Not Loaded,6.1.7600.16385,6.1.7600.16385,6.1,9.0,6.1,6.1
DE6,"c:\windows\system32\MFPLAT.DLL",2016-06-14 19:16:28,2016-06-14 19:17:15,433152,A,0x00069C1C,0x00069C1C,x64,Console,"CV",0x000007FF385D0000,Unknown,0x0006D000,Not Loaded,12.0.7601.23471,12.0.7601.23471,6.1,9.0,6.1,6.1
DE6,"c:\windows\system32\NCRYPT.DLL",2017-07-07 17:29:35,2017-07-07 17:29:52,312320,A,0x0004C607,0x0004C607,x64,Console,"CV",0x000007FF729D0000,Unknown,0x00050000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
DE6,"c:\windows\system32\NDFAPI.DLL",2009-07-14 03:41:52,2009-07-14 03:31:04,238592,A,0x0003D104,0x0003D104,x64,Console,"CV",0x000007FF31480000,Unknown,0x0003D000,Not Loaded,6.1.7600.16385,6.1.7600.16385,6.1,9.0,6.1,6.1
DE6,"c:\windows\system32\OLE32.DLL",2017-04-17 17:37:29,2017-04-17 17:37:46,2065408,A,0x00203CE4,0x00203CE4,x64,Console,"CV",0x000007FF7A5F0000,Unknown,0x001FC000,Not Loaded,6.1.7601.23775,6.1.7601.23775,6.1,9.0,6.1,6.1
DE6,"c:\windows\system32\USERENV.DLL",2010-11-21 05:24:03,2010-11-20 15:15:32,109056,A,0x00020AAD,0x00020AAD,x64,GUI,"CV",0x000007FF70720000,Unknown,0x0001E000,Not Loaded,6.1.7601.17514,6.1.7601.17514,6.1,9.0,6.1,6.1
DE6,"c:\windows\system32\UXTHEME.DLL",2009-07-14 03:41:56,2009-07-14 03:34:11,332288,A,0x00056D60,0x00056D60,x64,GUI,"CV",0x000007FF72EE0000,Unknown,0x00056000,Not Loaded,6.1.7600.16385,6.1.7600.16385,6.1,9.0,6.1,6.1
6,"c:\python27_x64\lib\site-packages\PYTHON_EXAMPLE.PYD",2017-09-02 20:24:20,2017-09-02 20:02:35,119296,A,0x00000000,0x0002A926,x64,GUI,"Unknown",0x0000000180000000,Unknown,0x00022000,Not Loaded,N/A,N/A,0.0,14.0,6.0,6.0
6,"c:\windows\system32\ADVAPI32.DLL",2017-07-07 17:29:28,2017-07-07 17:29:38,880640,A,0x000DC2CE,0x000DC2CE,x64,Console,"CV",0x000007FF7FF10000,Unknown,0x000DB000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-CONSOLE-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:03,3072,HA,0x0000A4D2,0x0000A4D2,x64,Console,"CV",0x0000000000400000,Unknown,0x00003000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-DATETIME-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:04,3072,HA,0x000067C5,0x000067C5,x64,Console,"CV",0x000007FF38000000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-DEBUG-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:05,3072,HA,0x00007132,0x00007132,x64,Console,"CV",0x000007FF37C00000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-DELAYLOAD-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:06,3072,HA,0x00004003,0x00004003,x64,Console,"CV",0x000007FF37800000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-ERRORHANDLING-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:07,3072,HA,0x0000E123,0x0000E123,x64,Console,"CV",0x000007FF37400000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-FIBERS-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:08,3072,HA,0x0000949B,0x0000949B,x64,Console,"CV",0x000007FF37000000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-FILE-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:09,5120,HA,0x00009D58,0x00009D58,x64,Console,"CV",0x000007FF2F400000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-FILE-L1-2-0.DLL",2017-01-18 17:36:12,2017-01-14 06:38:53,11608,A,0x00011863,0x00011863,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00003000,Not Loaded,10.0.10586.788,10.0.10586.788,10.0,12.10,10.0,10.0
6,"c:\windows\system32\API-MS-WIN-CORE-FILE-L2-1-0.DLL",2017-01-18 17:36:12,2017-01-14 09:17:12,11616,A,0x00009151,0x00009151,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00003000,Not Loaded,10.0.10586.788,10.0.10586.788,10.0,12.10,10.0,10.0
6,"c:\windows\system32\API-MS-WIN-CORE-HANDLE-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:10,3072,HA,0x0000682B,0x0000682B,x64,Console,"CV",0x000007FF2F000000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-HEAP-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:11,3584,HA,0x0000ECF5,0x0000ECF5,x64,Console,"CV",0x000007FF2EC00000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-INTERLOCKED-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:12,3072,HA,0x00001CC0,0x00001CC0,x64,Console,"CV",0x000007FF2E800000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-IO-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:13,3072,HA,0x0000FCCC,0x0000FCCC,x64,Console,"CV",0x000007FF2E400000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-LIBRARYLOADER-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:14,3584,HA,0x0000BA6A,0x0000BA6A,x64,Console,"CV",0x000007FF2E000000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-LOCALIZATION-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:15,4096,HA,0x00009364,0x00009364,x64,Console,"CV",0x0000000000400000,Unknown,0x00003000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-LOCALIZATION-L1-2-0.DLL",2017-01-18 17:36:12,2017-01-14 06:38:53,14176,A,0x0000FA23,0x0000FA23,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00003000,Not Loaded,10.0.10586.788,10.0.10586.788,10.0,12.10,10.0,10.0
6,"c:\windows\system32\API-MS-WIN-CORE-LOCALREGISTRY-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:16,4096,HA,0x00005524,0x00005524,x64,Console,"CV",0x000007FF2DC00000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-MEMORY-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:17,3584,HA,0x000032E6,0x000032E6,x64,Console,"CV",0x000007FF2D800000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-MISC-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:18,3584,HA,0x0000938F,0x0000938F,x64,Console,"CV",0x000007FF2D400000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-NAMEDPIPE-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:19,3584,HA,0x00009D10,0x00009D10,x64,Console,"CV",0x000007FF2D000000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-PROCESSENVIRONMENT-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:20,3584,HA,0x0000F149,0x0000F149,x64,Console,"CV",0x000007FF2CC00000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-PROCESSTHREADS-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:21,4608,HA,0x000023EF,0x000023EF,x64,Console,"CV",0x000007FF2C800000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-PROCESSTHREADS-L1-1-1.DLL",2017-01-18 17:36:12,2017-01-14 06:38:53,12128,A,0x0000A833,0x0000A833,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00003000,Not Loaded,10.0.10586.788,10.0.10586.788,10.0,12.10,10.0,10.0
6,"c:\windows\system32\API-MS-WIN-CORE-PROFILE-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:22,3072,HA,0x0000D2D8,0x0000D2D8,x64,Console,"CV",0x000007FF2C400000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-RTLSUPPORT-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:23,3584,HA,0x00002D90,0x00002D90,x64,Console,"CV",0x000007FF2C000000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-STRING-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:24,3072,HA,0x000022D9,0x000022D9,x64,Console,"CV",0x000007FF26EB0000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-SYNCH-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:25,4096,HA,0x00010C68,0x00010C68,x64,Console,"CV",0x000007FF26EA0000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
6,"c:\windows\system32\API-MS-WIN-CORE-SYNCH-L1-2-0.DLL",2017-01-18 17:36:12,2017-01-14 08:56:34,12128,A,0x0000BDFB,0x0000BDFB,x64,Console,"CV,Unknown",0x0000000180000000,Unknown,0x00003000,Not Loaded,10.0.10586.788,10.0.10586.788,10.0,12.10,10.0,10.0
6,"c:\windows\system32\API-MS-WIN-CORE-SYSINFO-L1-1-0.DLL",2017-07-07 17:29:28,2017-07-07 17:30:26,4096,HA,0x00009B13,0x00009B13,x64,Console,"CV",0x000007FF26E90000,Unknown,0x00004000,Not Loaded,6.1.7601.23864,6.1.7601.23864,6.1,9.0,6.1,6.1
